date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:14:53	127/127	---MCZ	200	added ('OK')	text/plain	date:Sat,%2020%20Apr%202024%2023:14:52%20GMT	https://dekko.qodeinteractive.com/robots.txt		(from )
02:14:54	89768/89768	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2023:14:52%20GMT	https://dekko.qodeinteractive.com/coming-soon/	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/coming-soon/index.html	(from )
02:14:54	88932/88932	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2011:03:54%20GMT	https://dekko.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.8	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-includes/css/dist/block-library/style.mind42d.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:54	10435/10435	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:53:01%20GMT	https://dekko.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.5.1	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style2ff6.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:55	230625/230625	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:53:01%20GMT	https://dekko.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.5.1	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style2ff6.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:55	1325/1325	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:52:47%20GMT	https://dekko.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.3	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-barba31.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:56	2731/2731	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2010:52:46%20GMT	https://dekko.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:57	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%2263c16c7d-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.0.8	C:/Users/jiwar/Desktop/cln2/coming%20soon/export.qodethemes.com/_toolbar/assets/css/rbt-modulesd42d.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:57	586/586	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2015:42:25%20GMT	https://dekko.qodeinteractive.com/wp-content/themes/dekko/style.css?ver=6.0.8	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/themes/dekko/styled42d.css	(from https://dekko.qodeinteractive.com/coming-soon/)
02:14:58	35474/35474	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2015:42:24%20GMT	https://dekko.qodeinteractive.com/wp-content/themes/dekko/assets/css/plugins.min.css?ver=6.0.8	C:/Users/jiwar/Desktop/cln2/coming%20soon/dekko.qodeinteractive.com/wp-content/themes/dekko/assets/css/plugins.mind42d.css	(from https://dekko.qodeinteractive.com/coming-soon/)
